"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"EICU","aki1_48h","RD",66,1887,454,422,0.0439842999210947,0.000728755874253841,0.0872398439679355,0.0462590964786495,"G2_60_89",FALSE
"EICU","aki1_48h","RD",68,1887,454,422,0.0356854825741517,-0.00564039507268667,0.0770113602209902,0.0905529946162041,"G2_60_89",FALSE
"EICU","aki1_48h","RD",70,1887,454,422,0.0273238479308,-0.0120624230197611,0.0667101188813612,0.173914997222337,"G2_60_89",FALSE
"EICU","aki1_48h","RD",72,1887,454,422,0.0189645772197574,-0.0186114207770363,0.0565405752165511,0.322560167603972,"G2_60_89",FALSE
"EICU","aki1_48h","RD",74,1887,454,422,0.0106728516697415,-0.0253582473740455,0.0467039507135285,0.561526290423659,"G2_60_89",FALSE
"EICU","aki1_48h","RD",76,1887,454,422,0.00251385250947031,-0.0323545464924535,0.0373822515113941,0.887627373216173,"G2_60_89",FALSE
"EICU","aki1_48h","RD",78,1887,454,422,-0.00544723903233843,-0.0396132926867165,0.0287188146220397,0.754667307724322,"G2_60_89",FALSE
"EICU","aki1_48h","RD",80,1887,454,422,-0.0131452417269668,-0.0470918314350224,0.0208013479810888,0.447866439402463,"G2_60_89",FALSE
"EICU","aki1_48h","RD",82,1887,454,422,-0.0205149743456972,-0.0546854469215119,0.0136554982301175,0.239304113274775,"G2_60_89",FALSE
"EICU","aki1_48h","RD",84,1887,454,422,-0.0274912556598116,-0.0622357294144002,0.00725321809477695,0.12094181611075,"G2_60_89",FALSE
"EICU","aki1_48h","RD",86,1887,454,422,-0.0340089044405923,-0.069550426790345,0.00153261790916038,0.0607265700393209,"G2_60_89",FALSE
"EICU","aki1_48h","RD",88,1887,454,422,-0.0400027394593214,-0.0764268609761113,-0.00357861794253151,0.0313527084890583,"G2_60_89",FALSE
"EICU","aki1_48h","RD",90,1887,454,422,-0.0454075794872811,-0.0826726460363673,-0.00814251293819491,0.0169281286066206,"G1_ge90",FALSE
"EICU","aki1_48h","RD",92,1887,454,422,-0.0501710891860535,-0.0881460335681593,-0.0121961448039476,0.00961211839536175,"G1_ge90",FALSE
"EICU","aki1_48h","RD",94,1887,454,422,-0.0542923167784203,-0.0928419824727518,-0.0157426510840889,0.00577285947848893,"G1_ge90",FALSE
"EICU","aki1_48h","RD",96,1887,454,422,-0.0577831563774631,-0.09682603491856,-0.0187402778363663,0.00372229477594453,"G1_ge90",FALSE
"EICU","aki1_48h","RD",98,1887,454,422,-0.0606555020962635,-0.10020631849421,-0.0211046856983166,0.0026481841137787,"G1_ge90",FALSE
