"db","variant","stratum","horizon","outcome","method","composition","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","pooled","Overall","7d","aki2","psm",NA,104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.19286965600923,0.891033221590499,1.59695282033102,0.236067893235359,0.00881542699724516,-0.00574805161768731,0.0233789056121776,0.235538645982769
"EICU","pooled","Overall","7d","aki2","dr",NA,104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.22565873326918,0.915149832962769,1.64152281553235,0.172211560228684,0.0101541422019013,-0.00443451088752055,0.0247427952913231,0.172583341097058
"EICU","pooled","Overall","7d","new_rrt","psm",NA,45,40,FALSE,1815,0.0247933884297521,0.0220385674931129,1.12817796434359,0.733084253776277,1.73620632645436,0.583466293052464,0.0027548209366391,-0.00708631812309033,0.0125959599963685,0.583271887613896
"EICU","pooled","Overall","7d","new_rrt","dr",NA,45,40,FALSE,1815,0.0247933884297521,0.0220385674931129,1.42795191662762,0.91685073660842,2.22396797513985,0.115034582771143,0.00566098987143338,-0.00430256424782353,0.0156245439906903,0.265519241179421
"EICU","pooled","Overall","7d","death","psm",NA,113,71,FALSE,1815,0.0622589531680441,0.0391184573002755,1.63082372022969,1.20292863245408,2.21092584772715,0.00163307622736795,0.0231404958677686,0.00888417722545773,0.0373968145100796,0.00147790277742771
"EICU","pooled","Overall","7d","death","dr",NA,113,71,FALSE,1815,0.0622589531680441,0.0391184573002755,1.86283831848374,1.35119088395374,2.56822825110929,0.000146374974860508,0.0260244613141838,0.0117735465726701,0.0402753760556974,0.000349063432530177
"EICU","egfr","G1","48h","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",27,6,TRUE,580,0.046551724137931,0.0103448275862069,4.67088607559853,1.91225866430269,11.4091138079251,0.000717544497888278,0.0362068965517241,0.0171697229712913,0.0552440701321569,0.000202544693876352
"EICU","egfr","G1","48h","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",27,6,TRUE,580,0.046551724137931,0.0103448275862069,4.82373122210835,1.94179571079131,11.9829201258564,0.000700397623418967,0.0369007538102501,0.0174977151575943,0.056303792462906,0.000202736695242068
"EICU","egfr","G1","48h","aki2","psm",NA,18,5,TRUE,580,0.0310344827586207,0.00862068965517241,3.6832740161494,1.35705144292746,9.9970473107308,0.0104876447843101,0.0224137931034483,0.00640678785585805,0.0384207983510385,0.00615421400728041
"EICU","egfr","G1","48h","aki2","dr",NA,18,5,TRUE,580,0.0310344827586207,0.00862068965517241,3.87966605510078,1.38515293944144,10.8665319695101,0.00987928674341922,0.0234538939177725,0.00684766125854182,0.0400601265770032,0.00572660608526659
"EICU","egfr","G1","48h","new_rrt","psm",NA,1,1,TRUE,580,0.00172413793103448,0.00172413793103448,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","egfr","G1","48h","new_rrt","dr",NA,1,1,TRUE,580,0.00172413793103448,0.00172413793103448,NA,NA,NA,NA,NA,NA,NA,NA
