"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"IUH","aki1_7d","OR",92,1069,288,295,0.675940122586957,0.501880142429443,0.910366859926328,0.0099322185962687,"G1_ge90",FALSE
"IUH","aki1_7d","OR",94,1069,288,295,0.674760930288394,0.499368169856428,0.911756776917843,0.010421292567057,"G1_ge90",FALSE
"IUH","aki1_7d","OR",96,1069,288,295,0.675852123041057,0.499117774217853,0.915166952198604,0.0113030481654361,"G1_ge90",FALSE
"IUH","aki1_7d","OR",98,1069,288,295,0.679181644458929,0.500488353827317,0.921675205111952,0.013005587510753,"G1_ge90",FALSE
"IUH","aki1_7d","OR",100,1069,288,295,0.684739140790076,0.502636656541699,0.932816349201212,0.0163549831137401,"G1_ge90",FALSE
"IUH","aki1_7d","OR",102,1069,288,295,0.692535075402332,0.504546902689517,0.950565404536131,0.0229801365570758,"G1_ge90",FALSE
"IUH","aki1_7d","OR",104,1069,288,295,0.702600176379997,0.505133563740244,0.977260359010813,0.0360260386326714,"G1_ge90",FALSE
"IUH","aki1_7d","OR",106,1069,288,295,0.714985189494579,0.503418932921303,1.01546403555011,0.060893261555559,"G1_ge90",FALSE
"IUH","aki1_7d","OR",108,1069,288,295,0.729760915925786,0.498722183153848,1.0678309736396,0.104785373111305,"G1_ge90",FALSE
"IUH","aki1_7d","OR",110,1069,288,295,0.747018520247843,0.490762878006211,1.13708003315241,0.173612584354871,"G1_ge90",FALSE
"IUH","aki1_7d","OR",112,1069,288,295,0.766870099562852,0.479633518211585,1.22612312791724,0.267604960669404,"G1_ge90",FALSE
"IUH","aki1_7d","OR",114,1069,288,295,0.789449509421421,0.465683049812549,1.33831482201594,0.379998486392158,"G1_ge90",FALSE
"IUH","aki1_7d","OR",116,1069,288,295,0.814913446454982,0.449386627831176,1.47775631068092,0.50031542304505,"G1_ge90",FALSE
"IUH","aki1_7d","OR",118,1069,288,295,0.843442791563264,0.431248675989181,1.64961838087563,0.618847743865081,"G1_ge90",FALSE
"IUH","aki1_7d","OR",120,1069,288,295,0.87524422114303,0.411747608700004,1.86049033548221,0.729085028494577,"G1_ge90",FALSE
"IUH","aki1_7d","RD",30,1069,288,295,0.417805418100665,0.233208801544422,0.602402034656908,9.15812635174079e-06,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",32,1069,288,295,0.386261359884485,0.219194341562764,0.553328378206206,5.8552941452251e-06,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",34,1069,288,295,0.355464078101453,0.204667467574505,0.506260688628401,3.83381420717295e-06,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",36,1069,288,295,0.325460246278642,0.189546999886904,0.461373492670379,2.68635125762692e-06,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",38,1069,288,295,0.296296537943122,0.173745474384539,0.418847601501705,2.15020161081109e-06,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",40,1069,288,295,0.268019626621965,0.157177988876101,0.37886126436783,2.14393885173115e-06,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",42,1069,288,295,0.240676185842245,0.139779269822944,0.341573101861546,2.93496247888447e-06,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",44,1069,288,295,0.214312889131031,0.121530470177458,0.307095308084604,5.97438730283069e-06,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",46,1069,288,295,0.188976410015396,0.102492437240252,0.275460382790541,1.84554082088305e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",48,1069,288,295,0.164713422022413,0.0828345110350406,0.246592333009785,8.05106394535223e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",50,1069,288,295,0.141570598679151,0.0628431559437221,0.22029804141458,0.000424211593768259,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",52,1069,288,295,0.119594613512684,0.0429008875287919,0.196288339496576,0.00224024481830472,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",54,1069,288,295,0.098832140050083,0.0234417962118819,0.174222483888284,0.0101862914967765,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",56,1069,288,295,0.0793298518184197,0.00490190472179361,0.153757798915046,0.036699828459092,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",58,1069,288,295,0.061134422344766,-0.0123194538461636,0.134588298535696,0.102832317791317,"G3plus_lt60",FALSE
"IUH","aki1_7d","RD",60,1069,288,295,0.0442925251561937,-0.0278820547709767,0.116467105083364,0.229044261670542,"G2_60_89",FALSE
"IUH","aki1_7d","RD",62,1069,288,295,0.0288344142345833,-0.0415565415169859,0.0992253699861525,0.422044414329528,"G2_60_89",FALSE
"IUH","aki1_7d","RD",64,1069,288,295,0.0147246653810497,-0.0533545612746824,0.0828038920367818,0.671622032506969,"G2_60_89",FALSE
"IUH","aki1_7d","RD",66,1069,288,295,0.0019114348515164,-0.0633990019970876,0.0672218717001204,0.954255917618027,"G2_60_89",FALSE
"IUH","aki1_7d","RD",68,1069,288,295,-0.00965712109809287,-0.0718672167412222,0.0525529745450364,0.760930874128114,"G2_60_89",FALSE
"IUH","aki1_7d","RD",70,1069,288,295,-0.020032846211854,-0.0789791493938623,0.0389134569701544,0.505344516961437,"G2_60_89",FALSE
"IUH","aki1_7d","RD",72,1069,288,295,-0.0292675842338438,-0.0849870908301977,0.0264519223625102,0.30323438624597,"G2_60_89",FALSE
"IUH","aki1_7d","RD",74,1069,288,295,-0.0374131789081392,-0.090162681192955,0.0153363233766765,0.164482699424601,"G2_60_89",FALSE
"IUH","aki1_7d","RD",76,1069,288,295,-0.0445214739788155,-0.0947762907043771,0.00573334274674599,0.0824944499373084,"G2_60_89",FALSE
"IUH","aki1_7d","RD",78,1069,288,295,-0.0506443131899492,-0.0990656706751736,-0.00222295570472487,0.0403663030557505,"G2_60_89",FALSE
"IUH","aki1_7d","RD",80,1069,288,295,-0.0558335402856168,-0.103197318577411,-0.00846976199382243,0.020860804691029,"G2_60_89",FALSE
"IUH","aki1_7d","RD",82,1069,288,295,-0.0601409990098947,-0.107233991511164,-0.0130480065086257,0.0123126351433589,"G2_60_89",FALSE
"IUH","aki1_7d","RD",84,1069,288,295,-0.0636185331068595,-0.11112588804149,-0.0161111781722293,0.00867265733373098,"G2_60_89",FALSE
"IUH","aki1_7d","RD",86,1069,288,295,-0.0663179863205878,-0.114732363766225,-0.0179036088749504,0.00725717278540498,"G2_60_89",FALSE
"IUH","aki1_7d","RD",88,1069,288,295,-0.0682912023951543,-0.11786331061866,-0.0187190941716482,0.00693139830036745,"G2_60_89",FALSE
"IUH","aki1_7d","RD",90,1069,288,295,-0.0695900250746373,-0.120322210065523,-0.0188578400837513,0.00717612521679802,"G1_ge90",FALSE
"IUH","aki1_7d","RD",92,1069,288,295,-0.0702595439931932,-0.121951075377348,-0.0185680126090389,0.00772066099314043,"G1_ge90",FALSE
