"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"MIMIC","aki1_48h","RD",116,4690,1658,1180,-0.0618122656538039,-0.11491236328881,-0.00871216801879764,0.0225142377360755,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",118,4690,1658,1180,-0.0685514675680012,-0.129265353585122,-0.0078375815508808,0.0268964571289211,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",120,4690,1658,1180,-0.0750120244292959,-0.144041370824019,-0.00598267803457311,0.0331823070046594,"G1_ge90",FALSE
"MIMIC","aki1_7d","OR",30,4202,1674,1214,8.50101324309448,5.3092799016769,13.6114929891797,5.04814801607544e-19,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",32,4202,1674,1214,7.90722641553351,5.17162459259469,12.0898623763295,1.35707450469574e-21,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",34,4202,1674,1214,7.35742582603214,5.02124794564004,10.7805301334636,1.3270723912738e-24,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",36,4202,1674,1214,6.84833680662488,4.85770168144344,9.65471329705801,4.75759738731127e-28,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",38,4202,1674,1214,6.3769218603858,4.68077354761633,8.68769488628112,7.65163171131967e-32,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",40,4202,1674,1214,5.94036471755162,4.49067800504866,7.85804124407486,9.26830229779447e-36,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",42,4202,1674,1214,5.53605529903089,4.28833065504041,7.14681556514423,2.11441314750368e-39,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",44,4202,1674,1214,5.16157555650773,4.0756565137108,6.53682716782263,3.10747926322953e-42,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",46,4202,1674,1214,4.81468615654903,3.85579136355807,6.01204800787602,9.61387043059581e-44,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",48,4202,1674,1214,4.49331397483832,3.63298217986251,5.55738219372201,1.15723759021715e-43,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",50,4202,1674,1214,4.1955403658245,3.41209192964307,5.15887594010521,4.10896640137937e-42,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",52,4202,1674,1214,3.91959017262912,3.19785688695519,4.8042134668505,1.57122007078561e-39,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",54,4202,1674,1214,3.66382144194791,2.99421386355825,4.48317594205678,1.85293600505133e-36,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",56,4202,1674,1214,3.42671580886263,2.80393722285836,4.18781887803422,2.3280935009562e-33,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",58,4202,1674,1214,3.20686951690216,2.62860765938891,3.91234198139218,1.54304409475507e-30,"G3plus_lt60",FALSE
"MIMIC","aki1_7d","OR",60,4202,1674,1214,3.00298503931821,2.46878583242015,3.65277499082563,3.70508192375083e-28,"G2_60_89",FALSE
"MIMIC","aki1_7d","OR",62,4202,1674,1214,2.81391539522706,2.32411845469118,3.40693471776936,2.87050697949365e-26,"G2_60_89",FALSE
